CURVE_ID,author,year,journal,pages,REF_ID,source_type,source_num,source_page,specimen_origin,country,climate,lat,long,modeled,model_type,species,species raw,replicates,focus_density,total_density,temperature,pH,treatment_type,treatment_level,treatment_level_br,container_volume_ml,subst_bm_g,moisture,moisture_type
gr0004,Nair,1998,jae,p459-466,Nair 1998 jae p459-466,tab,1,463,Benena Benghazi Airport,Lybia,mediteranean,32.0975,20.2708,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,15,1,1,20,7.5,clutch size,single hatchling in cocoon,single hatchling in cocoon,200,200,27,%
gr0005,Nair,1998,jae,p459-466,Nair 1998 jae p459-466,tab,1,463,Benena Benghazi Airport,Lybia,mediteranean,32.0975,20.2708,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,15,1,1,20,7.5,hatchling sequence,first hatchling in cocoon,first hatchling in cocoon,200,200,27,%
gr0006,Nair,1998,jae,p459-466,Nair 1998 jae p459-466,tab,1,463,Benena Benghazi Airport,Lybia,mediteranean,32.0975,20.2708,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,15,1,1,20,7.5,hatchling sequence,second hatchling in cocoon,second hatchling in cocoon,200,200,27,%
gr0007,Vercesi,2006,ase,p180-187,Vercesi 2006 ase p180-187,fig,4,185,Silkeborg,Denmark,temperate,56.1763,9.5549,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,15,1,1,15,5.7,GMO food,control1: ground corn leaves variety near isogen to MEB307 gmo 5g kg-1 dry soil,control1: ground corn leaves variety<br>near isogen to MEB307 gmo 5g kg-1 dry soil,160,64.5,27,%
gr0008,Vercesi,2006,ase,p180-187,Vercesi 2006 ase p180-187,fig,4,185,Silkeborg,Denmark,temperate,56.1763,9.5549,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,15,1,1,15,5.7,GMO food,control2: ground leaves of conventional variety of corn 5g kg-1 dry soil,control2: ground leaves of<br>conventional variety of corn: 5g kg-1 dry soil,160,64.5,27,%
gr0009,Vercesi,2006,ase,p180-187,Vercesi 2006 ase p180-187,fig,4,185,Silkeborg,Denmark,temperate,56.1763,9.5549,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,15,1,1,15,5.7,GMO food,GMO: ground corn leaves of Bt-corn: MEB 307 cultivar 5g kg-1 dry soil,GMO: ground corn leaves of Bt-corn: MEB 307 cultivar: 5g kg-1 dry soil,160,64.5,27,%
gr0010,Vercesi,2006,ase,p180-187,Vercesi 2006 ase p180-187,fig,4,185,Silkeborg,Denmark,temperate,56.1763,9.5549,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,15,1,1,15,5.7,ecotoxicology,benomyl: 0.5 mg a i kg-1 dry soil,benomyl: 0.5 mg a i kg-1 dry soil,160,64.5,27,%
gr0011,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1a,1740,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,control,control,control,10,15,na,na
gr0012,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1b,1740,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,ecotoxicology,azinphos-methyl: 200 g ai ha-1 X captan: 2800 g ai ha-1,azinphos-methyl: 200 g ai ha-1 X captan: 2800 g ai ha-1,10,15,na,na
gr0013,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1b,1740,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,ecotoxicology,azinphos-methyl: 400 g ai ha-1 X captan: 5600 g ai ha-1,azinphos-methyl: 400 g ai ha-1 X captan: 5600 g ai ha-1,10,15,na,na
gr0014,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1b,1740,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,ecotoxicology,azinphos-methyl: 800 g ai ha-1 X captan: 11200 g ai ha-1,azinphos-methyl: 800 g ai ha-1 X captan: 11200 g ai ha-1,10,15,na,na
gr0015,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1c,1741,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,ecotoxicology,azinphos-methyl: 200 g ai ha-1 X captan: 2800 g ai ha-1 X glyphosate 0.7 g ai ha-1,azinphos-methyl: 200 g ai ha-1 X captan: 2800 g ai ha-1 X glyphosate: 0.7 g ai ha-1,10,15,na,na
gr0016,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1c,1741,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,ecotoxicology,azinphos-methyl: 400 g ai ha-1 X captan: 5600 g ai ha-1 X glyphosate 0.7 g ai ha-1,azinphos-methyl: 400 g ai ha-1 X captan: 5600 g ai ha-1 X glyphosate: 0.7 g ai ha-1,10,15,na,na
gr0017,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1c,1741,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,ecotoxicology,azinphos-methyl: 800 g ai ha-1 X captan: 11200.g ai ha-1 X glyphosate 0.7 g ai ha-1,azinphos-methyl: 800 g ai ha-1 X captan: 11200 g ai ha-1 X glyphosate: 0.7 g ai ha-1,10,15,na,na
gr0018,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1d,1741,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,ecotoxicology,azinphos-methyl: 200 g ai ha-1 X glyphosate: 0.7 g ai ha-1,azinphos-methyl: 200 g ai ha-1 X glyphosate: 0.7 g ai ha-1,10,15,na,na
gr0019,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1d,1741,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,ecotoxicology,azinphos-methyl: 400 g ai ha-1 X glyphosate: 1.4 g ai ha-1,azinphos-methyl: 400 g ai ha-1 X glyphosate: 1.4 g ai ha-1,10,15,na,na
gr0020,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1d,1741,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,ecotoxicology,azinphos-methyl: 800 g ai ha-1 X glyphosate: 2.8 g ai ha-1,azinphos-methyl: 800 g ai ha-1 X glyphosate: 2.8 g ai ha-1,10,15,na,na
gr0021,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1e,1742,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,ecotoxicology,captan: 2800 g ai ha-1 X glyphosate: 0.7 g ai ha-1,captan: 2800 g ai ha-1 X glyphosate: 0.7 g ai ha-1,10,15,na,na
gr0022,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1e,1742,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,ecotoxicology,captan: 5600 g ai ha-1 X glyphosate: 1.4 g ai ha-1,captan: 5600 g ai ha-1 X glyphosate: 1.4 g ai ha-1,10,15,na,na
gr0023,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1e,1742,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,ecotoxicology,captan: 11200 g ai ha-1 X glyphosate: 2.8 g ai ha-1,captan: 11200 g ai ha-1 X glyphosate: 2.8 g ai ha-1,10,15,na,na
gr0024,Springett,1992,sbb,p1739-1744,Springett 1992 sbb p1739-1744,fig,1f,1742,Palmerston North,New Zealand,temperate,-40.3523,175.6082,no,na,Aporrectodea caliginosa,Aporrectodea caliginosa,6,1,1,12,na,ecotoxicology,glyphosate: 0.7 g ai ha-1,glyphosate: 0.7 g ai ha-1,10,15,na,na
